Bug ID,Summary,Description,Status,Severity,Priority,Resolution,Assigned_To,Module,Reported_Date,Status_encoded,Severity_encoded,Priority_encoded,Resolution_encoded
BUG-0058,Typo in the settings menu - Case 405,There is a spelling mistake in the user profile settings page.,Resolved,Minor,P2,Cannot Reproduce,David Lee,API,2024-10-02,4,2,1,0
BUG-0059,App crashes on login - Case 498,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Resolved,Critical,P4,Won't Fix,Alice Johnson,UI/UX,2024-03-25,4,0,3,4
BUG-0060,App crashes on login - Case 185,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Minor,P5,,Eva Martinez,UI/UX,2024-08-24,0,2,4,5
BUG-0061,API returning 500 error - Case 434,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Resolved,Critical,P3,Won't Fix,Bob Smith,Notifications,2024-05-22,4,0,2,4
BUG-0062,Null pointer exception in module X - Case 834,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Major,P4,Duplicate,Bob Smith,Authentication,2024-01-27,1,1,3,1
BUG-0063,Null pointer exception in module X - Case 304,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Minor,P4,Fixed,Henry Wilson,Payment,2024-03-19,1,2,3,2
BUG-0064,Null pointer exception in module X - Case 576,A NullPointerException is thrown when clicking the submit button in module X.,In Progress,Trivial,P4,,Eva Martinez,Payment,2024-03-26,2,3,3,5
BUG-0065,Feature Y is not responsive - Case 689,Feature Y does not resize properly when the window is scaled down.,Resolved,Trivial,P1,Cannot Reproduce,David Lee,Payment,2024-04-11,4,3,0,0
BUG-0066,Feature Y is not responsive - Case 970,Feature Y does not resize properly when the window is scaled down.,New,Trivial,P3,,Grace Kim,Database,2024-10-16,3,3,2,5
BUG-0067,Null pointer exception in module X - Case 782,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Critical,P2,Duplicate,Bob Smith,UI/UX,2024-01-07,1,0,1,1
BUG-0068,API returning 500 error - Case 824,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Resolved,Major,P1,Duplicate,Henry Wilson,Notifications,2024-09-24,4,1,0,1
BUG-0069,Performance degradation on load - Case 374,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Assigned,Major,P2,,David Lee,Notifications,2024-02-14,0,1,1,5
BUG-0070,Memory leak during file upload - Case 444,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Resolved,Minor,P2,Fixed,David Lee,Database,2024-06-15,4,2,1,2
BUG-0071,Typo in the settings menu - Case 386,There is a spelling mistake in the user profile settings page.,In Progress,Trivial,P1,,David Lee,Payment,2024-10-11,2,3,0,5
BUG-0072,Memory leak during file upload - Case 600,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Assigned,Critical,P2,,Henry Wilson,Authentication,2024-12-19,0,0,1,5
BUG-0073,UI misalignment in header - Case 187,The header elements are overlapping on mobile screens.,Closed,Minor,P3,Duplicate,Frank Brown,Notifications,2024-07-26,1,2,2,1
BUG-0074,Typo in the settings menu - Case 535,There is a spelling mistake in the user profile settings page.,In Progress,Critical,P3,,Eva Martinez,API,2024-06-29,2,0,2,5
BUG-0075,Null pointer exception in module X - Case 423,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Minor,P4,Fixed,David Lee,Notifications,2024-12-19,1,2,3,2
BUG-0076,Performance degradation on load - Case 878,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Trivial,P4,Not a Bug,Eva Martinez,Reporting,2024-05-24,1,3,3,3
BUG-0077,Feature Y is not responsive - Case 114,Feature Y does not resize properly when the window is scaled down.,Assigned,Trivial,P5,,Eva Martinez,Dashboard,2024-05-20,0,3,4,5
BUG-0078,API returning 500 error - Case 205,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Critical,P2,Fixed,Henry Wilson,Database,2024-05-25,1,0,1,2
BUG-0079,App crashes on login - Case 358,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Critical,P2,,Bob Smith,Authentication,2024-02-03,3,0,1,5
BUG-0080,Performance degradation on load - Case 411,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Assigned,Critical,P1,,David Lee,UI/UX,2024-03-01,0,0,0,5
BUG-0081,API returning 500 error - Case 404,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Resolved,Trivial,P1,Not a Bug,Bob Smith,Reporting,2024-06-05,4,3,0,3
BUG-0082,Feature Y is not responsive - Case 776,Feature Y does not resize properly when the window is scaled down.,Assigned,Minor,P1,,Bob Smith,Dashboard,2024-05-02,0,2,0,5
BUG-0083,Typo in the settings menu - Case 405,There is a spelling mistake in the user profile settings page.,Closed,Critical,P3,Duplicate,Alice Johnson,Reporting,2024-12-18,1,0,2,1
BUG-0084,Feature Y is not responsive - Case 819,Feature Y does not resize properly when the window is scaled down.,New,Minor,P3,,David Lee,UI/UX,2024-12-17,3,2,2,5
BUG-0085,Null pointer exception in module X - Case 763,A NullPointerException is thrown when clicking the submit button in module X.,Resolved,Trivial,P4,Duplicate,Eva Martinez,API,2024-02-06,4,3,3,1
BUG-0086,API returning 500 error - Case 805,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Resolved,Critical,P2,Won't Fix,Bob Smith,Authentication,2024-05-19,4,0,1,4
BUG-0087,Typo in the settings menu - Case 718,There is a spelling mistake in the user profile settings page.,New,Minor,P1,,Alice Johnson,API,2024-02-16,3,2,0,5
BUG-0088,Database connection timeout - Case 581,The connection to the database times out after 30 seconds of inactivity.,Resolved,Minor,P1,Not a Bug,Grace Kim,Notifications,2024-05-22,4,2,0,3
BUG-0089,API returning 500 error - Case 456,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,In Progress,Trivial,P4,,Frank Brown,UI/UX,2024-06-13,2,3,3,5
BUG-0090,Feature Y is not responsive - Case 778,Feature Y does not resize properly when the window is scaled down.,Closed,Critical,P5,Cannot Reproduce,Frank Brown,API,2024-01-19,1,0,4,0
BUG-0091,Memory leak during file upload - Case 985,Uploading a file larger than 10MB causes a steady increase in RAM usage.,New,Critical,P2,,Alice Johnson,Reporting,2024-12-02,3,0,1,5
BUG-0092,Performance degradation on load - Case 874,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Minor,P3,Cannot Reproduce,Carol White,API,2024-01-27,4,2,2,0
BUG-0093,API returning 500 error - Case 224,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Minor,P3,Fixed,Alice Johnson,UI/UX,2024-05-02,1,2,2,2
BUG-0094,Button click has no effect - Case 723,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Trivial,P4,Duplicate,Henry Wilson,API,2024-08-24,1,3,3,1
BUG-0095,Feature Y is not responsive - Case 525,Feature Y does not resize properly when the window is scaled down.,Resolved,Critical,P1,Cannot Reproduce,Carol White,UI/UX,2024-05-04,4,0,0,0
BUG-0096,Performance degradation on load - Case 620,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Major,P1,Duplicate,Eva Martinez,Authentication,2024-07-31,1,1,0,1
BUG-0097,Feature Y is not responsive - Case 957,Feature Y does not resize properly when the window is scaled down.,Closed,Critical,P4,Not a Bug,Henry Wilson,Notifications,2024-12-03,1,0,3,3
BUG-0098,Button click has no effect - Case 881,Clicking the 'Save' button in the dialog does not trigger any network request.,Resolved,Major,P4,Not a Bug,David Lee,UI/UX,2024-08-21,4,1,3,3
BUG-0099,Memory leak during file upload - Case 144,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Resolved,Critical,P2,Won't Fix,Carol White,Notifications,2024-12-27,4,0,1,4
BUG-0100,Database connection timeout - Case 614,The connection to the database times out after 30 seconds of inactivity.,In Progress,Critical,P5,,Henry Wilson,Authentication,2024-02-21,2,0,4,5
BUG-0101,Memory leak during file upload - Case 991,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Closed,Major,P1,Duplicate,Grace Kim,Payment,2024-05-15,1,1,0,1
BUG-0102,Button click has no effect - Case 489,Clicking the 'Save' button in the dialog does not trigger any network request.,Resolved,Trivial,P1,Won't Fix,Bob Smith,Reporting,2024-10-04,4,3,0,4
BUG-0103,Feature Y is not responsive - Case 332,Feature Y does not resize properly when the window is scaled down.,Resolved,Trivial,P2,Fixed,Carol White,API,2024-02-20,4,3,1,2
BUG-0104,App crashes on login - Case 432,"When attempting to log in with valid credentials, the application throws an exception and crashes.",In Progress,Major,P2,,Carol White,Reporting,2024-07-02,2,1,1,5
BUG-0105,Performance degradation on load - Case 798,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Critical,P1,Duplicate,David Lee,Notifications,2024-02-10,4,0,0,1
BUG-0106,Database connection timeout - Case 337,The connection to the database times out after 30 seconds of inactivity.,In Progress,Major,P5,,Henry Wilson,API,2024-08-23,2,1,4,5
BUG-0107,Database connection timeout - Case 175,The connection to the database times out after 30 seconds of inactivity.,In Progress,Major,P2,,Eva Martinez,Notifications,2024-10-27,2,1,1,5
BUG-0108,Null pointer exception in module X - Case 493,A NullPointerException is thrown when clicking the submit button in module X.,New,Critical,P1,,Frank Brown,API,2024-05-01,3,0,0,5
BUG-0109,Feature Y is not responsive - Case 122,Feature Y does not resize properly when the window is scaled down.,In Progress,Trivial,P1,,Henry Wilson,API,2024-01-05,2,3,0,5
BUG-0110,Null pointer exception in module X - Case 721,A NullPointerException is thrown when clicking the submit button in module X.,Assigned,Minor,P1,,Eva Martinez,Dashboard,2024-11-21,0,2,0,5
BUG-0111,App crashes on login - Case 416,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Major,P4,,Bob Smith,API,2024-10-23,3,1,3,5
BUG-0112,Memory leak during file upload - Case 279,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Closed,Major,P4,Duplicate,Eva Martinez,Notifications,2024-09-28,1,1,3,1
BUG-0113,Feature Y is not responsive - Case 864,Feature Y does not resize properly when the window is scaled down.,New,Trivial,P4,,David Lee,UI/UX,2024-08-27,3,3,3,5
BUG-0114,Button click has no effect - Case 474,Clicking the 'Save' button in the dialog does not trigger any network request.,Resolved,Major,P1,Fixed,Bob Smith,Notifications,2024-01-08,4,1,0,2
BUG-0115,Feature Y is not responsive - Case 698,Feature Y does not resize properly when the window is scaled down.,In Progress,Minor,P2,,Alice Johnson,Database,2024-02-25,2,2,1,5
BUG-0116,Null pointer exception in module X - Case 763,A NullPointerException is thrown when clicking the submit button in module X.,Resolved,Major,P2,Fixed,Bob Smith,Dashboard,2024-12-24,4,1,1,2
BUG-0117,Button click has no effect - Case 227,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Critical,P5,Duplicate,Bob Smith,Reporting,2024-06-04,1,0,4,1
BUG-0118,Database connection timeout - Case 497,The connection to the database times out after 30 seconds of inactivity.,In Progress,Critical,P1,,Carol White,UI/UX,2024-12-09,2,0,0,5
BUG-0119,API returning 500 error - Case 730,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,In Progress,Major,P4,,Henry Wilson,Notifications,2024-01-17,2,1,3,5
BUG-0120,Typo in the settings menu - Case 201,There is a spelling mistake in the user profile settings page.,Closed,Major,P5,Won't Fix,Grace Kim,API,2024-11-26,1,1,4,4
BUG-0121,UI misalignment in header - Case 968,The header elements are overlapping on mobile screens.,New,Minor,P1,,Alice Johnson,Authentication,2024-12-05,3,2,0,5
BUG-0122,Null pointer exception in module X - Case 228,A NullPointerException is thrown when clicking the submit button in module X.,Assigned,Minor,P1,,David Lee,Reporting,2024-02-05,0,2,0,5
BUG-0123,Database connection timeout - Case 907,The connection to the database times out after 30 seconds of inactivity.,New,Minor,P4,,Eva Martinez,Dashboard,2024-05-21,3,2,3,5
BUG-0124,App crashes on login - Case 234,"When attempting to log in with valid credentials, the application throws an exception and crashes.",In Progress,Major,P5,,Carol White,API,2024-05-01,2,1,4,5
BUG-0125,Feature Y is not responsive - Case 525,Feature Y does not resize properly when the window is scaled down.,Closed,Trivial,P5,Duplicate,Henry Wilson,Notifications,2024-08-03,1,3,4,1
BUG-0126,Button click has no effect - Case 707,Clicking the 'Save' button in the dialog does not trigger any network request.,Resolved,Minor,P1,Fixed,Alice Johnson,API,2024-09-14,4,2,0,2
BUG-0127,App crashes on login - Case 162,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Resolved,Trivial,P2,Cannot Reproduce,Henry Wilson,Payment,2024-08-06,4,3,1,0
BUG-0128,Typo in the settings menu - Case 722,There is a spelling mistake in the user profile settings page.,Resolved,Major,P2,Duplicate,Eva Martinez,Notifications,2024-05-20,4,1,1,1
BUG-0129,Memory leak during file upload - Case 201,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Closed,Critical,P2,Fixed,David Lee,UI/UX,2024-04-20,1,0,1,2
BUG-0130,API returning 500 error - Case 508,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,New,Critical,P3,,Eva Martinez,Database,2024-06-09,3,0,2,5
BUG-0131,API returning 500 error - Case 168,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,New,Critical,P5,,Frank Brown,Dashboard,2024-02-17,3,0,4,5
BUG-0132,Performance degradation on load - Case 675,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",In Progress,Trivial,P2,,Frank Brown,UI/UX,2024-12-09,2,3,1,5
BUG-0133,App crashes on login - Case 394,"When attempting to log in with valid credentials, the application throws an exception and crashes.",In Progress,Trivial,P1,,David Lee,Dashboard,2024-06-29,2,3,0,5
BUG-0134,Null pointer exception in module X - Case 967,A NullPointerException is thrown when clicking the submit button in module X.,In Progress,Major,P5,,Eva Martinez,Reporting,2024-10-11,2,1,4,5
BUG-0135,Button click has no effect - Case 885,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Trivial,P1,Not a Bug,Eva Martinez,Authentication,2024-12-11,1,3,0,3
BUG-0136,Feature Y is not responsive - Case 447,Feature Y does not resize properly when the window is scaled down.,New,Minor,P1,,Grace Kim,Payment,2024-04-02,3,2,0,5
BUG-0137,App crashes on login - Case 193,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Critical,P2,,Frank Brown,Dashboard,2024-07-11,0,0,1,5
BUG-0138,Typo in the settings menu - Case 895,There is a spelling mistake in the user profile settings page.,Closed,Trivial,P4,Not a Bug,Carol White,Authentication,2024-02-13,1,3,3,3
BUG-0139,Feature Y is not responsive - Case 553,Feature Y does not resize properly when the window is scaled down.,Resolved,Critical,P2,Cannot Reproduce,Eva Martinez,Reporting,2024-11-06,4,0,1,0
BUG-0140,UI misalignment in header - Case 453,The header elements are overlapping on mobile screens.,New,Critical,P1,,Eva Martinez,Authentication,2024-05-25,3,0,0,5
BUG-0141,Performance degradation on load - Case 156,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Assigned,Minor,P4,,Eva Martinez,API,2024-06-03,0,2,3,5
BUG-0142,App crashes on login - Case 609,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Critical,P1,,David Lee,Database,2024-03-07,0,0,0,5
BUG-0143,Database connection timeout - Case 621,The connection to the database times out after 30 seconds of inactivity.,Closed,Trivial,P2,Duplicate,Bob Smith,Database,2024-08-11,1,3,1,1
BUG-0144,Performance degradation on load - Case 514,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",In Progress,Critical,P5,,Frank Brown,Dashboard,2024-02-28,2,0,4,5
BUG-0145,Performance degradation on load - Case 571,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",New,Trivial,P4,,Grace Kim,UI/UX,2024-08-11,3,3,3,5
BUG-0146,Memory leak during file upload - Case 991,Uploading a file larger than 10MB causes a steady increase in RAM usage.,In Progress,Major,P4,,Bob Smith,Payment,2024-04-23,2,1,3,5
BUG-0147,Null pointer exception in module X - Case 894,A NullPointerException is thrown when clicking the submit button in module X.,In Progress,Minor,P4,,Bob Smith,Dashboard,2024-11-26,2,2,3,5
BUG-0148,Database connection timeout - Case 716,The connection to the database times out after 30 seconds of inactivity.,Resolved,Critical,P2,Duplicate,Henry Wilson,Database,2024-11-17,4,0,1,1
BUG-0149,Typo in the settings menu - Case 254,There is a spelling mistake in the user profile settings page.,New,Critical,P3,,Eva Martinez,Authentication,2024-08-28,3,0,2,5
BUG-0150,UI misalignment in header - Case 417,The header elements are overlapping on mobile screens.,Resolved,Trivial,P3,Cannot Reproduce,Eva Martinez,Payment,2024-01-20,4,3,2,0
BUG-0151,UI misalignment in header - Case 729,The header elements are overlapping on mobile screens.,Closed,Critical,P1,Not a Bug,Alice Johnson,Notifications,2024-07-15,1,0,0,3
BUG-0152,Performance degradation on load - Case 767,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Minor,P5,Duplicate,Henry Wilson,Payment,2024-09-13,1,2,4,1
BUG-0153,Typo in the settings menu - Case 831,There is a spelling mistake in the user profile settings page.,Closed,Minor,P5,Fixed,David Lee,Notifications,2024-11-26,1,2,4,2
BUG-0154,Button click has no effect - Case 635,Clicking the 'Save' button in the dialog does not trigger any network request.,Assigned,Major,P3,,Grace Kim,UI/UX,2024-07-05,0,1,2,5
BUG-0155,Performance degradation on load - Case 153,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",New,Trivial,P1,,Grace Kim,API,2024-06-17,3,3,0,5
BUG-0156,Performance degradation on load - Case 994,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Minor,P3,Duplicate,Eva Martinez,UI/UX,2024-10-25,4,2,2,1
BUG-0157,UI misalignment in header - Case 417,The header elements are overlapping on mobile screens.,Resolved,Major,P4,Not a Bug,Bob Smith,UI/UX,2024-11-25,4,1,3,3
BUG-0158,App crashes on login - Case 471,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Major,P2,,David Lee,Reporting,2024-04-19,0,1,1,5
