Bug ID,Summary,Description,Status,Severity,Priority,Resolution
BUG-0149,Null pointer exception in module X - Case 561,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Major,P1,Not a Bug
BUG-0150,Memory leak during file upload - Case 737,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Resolved,Critical,P4,Won't Fix
BUG-0151,Feature Y is not responsive - Case 889,Feature Y does not resize properly when the window is scaled down.,Closed,Minor,P2,Duplicate
BUG-0152,Typo in the settings menu - Case 209,There is a spelling mistake in the user profile settings page.,New,Critical,P5,None
BUG-0153,Performance degradation on load - Case 302,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Minor,P1,Cannot Reproduce
BUG-0154,Feature Y is not responsive - Case 680,Feature Y does not resize properly when the window is scaled down.,Closed,Trivial,P2,Won't Fix
BUG-0155,Memory leak during file upload - Case 256,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Assigned,Minor,P3,None
BUG-0156,Database connection timeout - Case 293,The connection to the database times out after 30 seconds of inactivity.,Closed,Critical,P1,Duplicate
BUG-0157,Typo in the settings menu - Case 360,There is a spelling mistake in the user profile settings page.,Resolved,Trivial,P2,Fixed
BUG-0158,Performance degradation on load - Case 849,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",New,Minor,P1,None
BUG-0159,UI misalignment in header - Case 179,The header elements are overlapping on mobile screens.,Assigned,Critical,P5,None
BUG-0160,Button click has no effect - Case 351,Clicking the 'Save' button in the dialog does not trigger any network request.,In Progress,Minor,P5,None
BUG-0161,App crashes on login - Case 475,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Closed,Critical,P4,Cannot Reproduce
BUG-0162,Performance degradation on load - Case 127,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Major,P2,Not a Bug
BUG-0163,UI misalignment in header - Case 807,The header elements are overlapping on mobile screens.,Assigned,Minor,P2,None
BUG-0164,Performance degradation on load - Case 477,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Minor,P2,Cannot Reproduce
BUG-0165,Button click has no effect - Case 351,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Major,P2,Duplicate
BUG-0166,Performance degradation on load - Case 796,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Critical,P3,Duplicate
BUG-0167,App crashes on login - Case 663,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Trivial,P2,None
BUG-0168,Feature Y is not responsive - Case 710,Feature Y does not resize properly when the window is scaled down.,Resolved,Trivial,P2,Cannot Reproduce
BUG-0169,Performance degradation on load - Case 877,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",In Progress,Critical,P4,None
BUG-0170,UI misalignment in header - Case 579,The header elements are overlapping on mobile screens.,Closed,Critical,P4,Fixed
BUG-0171,Feature Y is not responsive - Case 274,Feature Y does not resize properly when the window is scaled down.,Resolved,Minor,P5,Not a Bug
BUG-0172,API returning 500 error - Case 980,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Resolved,Trivial,P5,Duplicate
BUG-0173,API returning 500 error - Case 878,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,In Progress,Minor,P5,None
BUG-0174,Performance degradation on load - Case 323,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",New,Minor,P5,None
BUG-0175,Button click has no effect - Case 662,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Minor,P4,Not a Bug
BUG-0176,App crashes on login - Case 986,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Trivial,P3,None
BUG-0177,Feature Y is not responsive - Case 446,Feature Y does not resize properly when the window is scaled down.,New,Minor,P3,None
BUG-0178,API returning 500 error - Case 332,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,In Progress,Minor,P2,None
BUG-0179,Button click has no effect - Case 825,Clicking the 'Save' button in the dialog does not trigger any network request.,Resolved,Critical,P5,Fixed
BUG-0180,UI misalignment in header - Case 262,The header elements are overlapping on mobile screens.,Closed,Major,P4,Duplicate
BUG-0181,API returning 500 error - Case 150,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Minor,P5,Duplicate
BUG-0182,Typo in the settings menu - Case 893,There is a spelling mistake in the user profile settings page.,Closed,Trivial,P2,Fixed
BUG-0183,Typo in the settings menu - Case 546,There is a spelling mistake in the user profile settings page.,In Progress,Critical,P5,None
BUG-0184,Button click has no effect - Case 424,Clicking the 'Save' button in the dialog does not trigger any network request.,In Progress,Critical,P5,None
BUG-0185,Typo in the settings menu - Case 235,There is a spelling mistake in the user profile settings page.,Assigned,Critical,P1,None
BUG-0186,Button click has no effect - Case 124,Clicking the 'Save' button in the dialog does not trigger any network request.,In Progress,Minor,P2,None
BUG-0187,Null pointer exception in module X - Case 262,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Major,P5,Duplicate
BUG-0188,Performance degradation on load - Case 690,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Minor,P2,Won't Fix
BUG-0189,Null pointer exception in module X - Case 516,A NullPointerException is thrown when clicking the submit button in module X.,Resolved,Minor,P2,Duplicate
BUG-0190,Feature Y is not responsive - Case 285,Feature Y does not resize properly when the window is scaled down.,Resolved,Minor,P5,Duplicate
BUG-0191,App crashes on login - Case 163,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Trivial,P4,None
BUG-0192,Typo in the settings menu - Case 345,There is a spelling mistake in the user profile settings page.,Closed,Critical,P4,Duplicate
BUG-0193,App crashes on login - Case 795,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Major,P5,None
BUG-0194,App crashes on login - Case 143,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Closed,Major,P3,Duplicate
BUG-0195,Button click has no effect - Case 296,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Major,P1,Duplicate
BUG-0196,API returning 500 error - Case 320,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,In Progress,Trivial,P4,None
BUG-0197,Null pointer exception in module X - Case 807,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Critical,P5,Duplicate
BUG-0198,Database connection timeout - Case 413,The connection to the database times out after 30 seconds of inactivity.,New,Major,P3,None
BUG-0199,Feature Y is not responsive - Case 534,Feature Y does not resize properly when the window is scaled down.,Closed,Minor,P3,Fixed
BUG-0200,Typo in the settings menu - Case 993,There is a spelling mistake in the user profile settings page.,Assigned,Critical,P5,None
BUG-0201,UI misalignment in header - Case 233,The header elements are overlapping on mobile screens.,New,Critical,P1,None
BUG-0202,Feature Y is not responsive - Case 815,Feature Y does not resize properly when the window is scaled down.,Closed,Trivial,P1,Duplicate
BUG-0203,Memory leak during file upload - Case 460,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Closed,Trivial,P1,Won't Fix
BUG-0204,Performance degradation on load - Case 638,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Trivial,P1,Not a Bug
BUG-0205,Memory leak during file upload - Case 794,Uploading a file larger than 10MB causes a steady increase in RAM usage.,In Progress,Trivial,P3,None
BUG-0206,UI misalignment in header - Case 504,The header elements are overlapping on mobile screens.,In Progress,Critical,P1,None
BUG-0207,Database connection timeout - Case 116,The connection to the database times out after 30 seconds of inactivity.,Resolved,Trivial,P3,Fixed
BUG-0208,UI misalignment in header - Case 273,The header elements are overlapping on mobile screens.,Assigned,Trivial,P2,None
BUG-0209,App crashes on login - Case 959,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Critical,P1,None
BUG-0210,API returning 500 error - Case 836,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Trivial,P4,Cannot Reproduce
BUG-0211,App crashes on login - Case 998,"When attempting to log in with valid credentials, the application throws an exception and crashes.",In Progress,Minor,P1,None
BUG-0212,Feature Y is not responsive - Case 830,Feature Y does not resize properly when the window is scaled down.,New,Critical,P4,None
BUG-0213,Button click has no effect - Case 351,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Minor,P2,Duplicate
BUG-0214,Typo in the settings menu - Case 358,There is a spelling mistake in the user profile settings page.,Assigned,Critical,P4,None
BUG-0215,API returning 500 error - Case 325,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,New,Trivial,P1,None
BUG-0216,Feature Y is not responsive - Case 970,Feature Y does not resize properly when the window is scaled down.,Resolved,Major,P2,Not a Bug
BUG-0217,Null pointer exception in module X - Case 145,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Trivial,P1,Duplicate
BUG-0218,API returning 500 error - Case 188,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Minor,P4,Not a Bug
BUG-0219,Null pointer exception in module X - Case 236,A NullPointerException is thrown when clicking the submit button in module X.,Resolved,Major,P3,Cannot Reproduce
BUG-0220,Performance degradation on load - Case 846,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Minor,P1,Not a Bug
BUG-0221,Performance degradation on load - Case 417,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Critical,P4,Won't Fix
BUG-0222,App crashes on login - Case 991,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Critical,P4,None
BUG-0223,UI misalignment in header - Case 578,The header elements are overlapping on mobile screens.,Closed,Minor,P4,Duplicate
BUG-0224,Database connection timeout - Case 117,The connection to the database times out after 30 seconds of inactivity.,Resolved,Critical,P3,Fixed
BUG-0225,Database connection timeout - Case 884,The connection to the database times out after 30 seconds of inactivity.,Assigned,Trivial,P2,None
BUG-0226,UI misalignment in header - Case 869,The header elements are overlapping on mobile screens.,New,Critical,P4,None
BUG-0227,Null pointer exception in module X - Case 644,A NullPointerException is thrown when clicking the submit button in module X.,Assigned,Major,P4,None
